Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
Huawei Ascend Y520,2014.0,91712.27999999998,150.0,4.5,409920.0,2.0,2.0,1.3,0.512,5.0,1750.0,
Huawei Ascend Y221,2014.0,86836.77000000002,130.0,3.5,153600.0,2.0,2.0,1.0,0.512,2.0,1350.0,
Huawei Ascend GX1,2014.0,125161.4,173.0,6.0,921600.0,2.0,4.0,1.2,1.0,8.0,3500.0,
Huawei Honor 6 Plus,2014.0,85446.375,165.0,5.5,2073600.0,2.0,4.0,15.0,3.0,8.0,3600.0,
Huawei Honor 4X,2014.0,102693.756,165.0,5.5,921600.0,2.0,4.0,1.2,2.0,13.0,3000.0,
Huawei Honor Holly,2014.0,96641.96399999999,156.0,5.0,921600.0,2.0,4.0,1.3,1.0,8.0,2000.0,
Huawei Honor Tablet,2014.0,212459.598,360.0,8.0,1024000.0,2.0,4.0,1.2,1.0,5.0,4800.0,
Huawei Ascend G620s,2014.0,87454.8,160.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Huawei Ascend Y550,2014.0,85918.0,153.0,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Huawei Ascend G7,2014.0,90178.18,165.0,5.5,921600.0,2.0,4.0,1.2,2.0,13.0,3000.0,
Huawei Ascend P7 Sapphire Edition,2014.0,62518.56,124.0,5.0,2073600.0,2.0,4.0,1.8,2.0,13.0,2500.0,
Huawei Ascend Mate7,2014.0,100464.3,185.0,6.0,2073600.0,2.0,4.0,1.8,2.0,13.0,4100.0,
Huawei Honor 3C Play,2014.0,96641.96399999999,156.0,5.0,921600.0,2.0,4.0,1.3,1.0,8.0,2000.0,
Huawei Honor 6,2014.0,72975.90000000001,130.0,5.0,2073600.0,2.0,4.0,1.7,3.0,13.0,3100.0,
Huawei Honor 3C 4G,2014.0,91634.76000000001,140.0,5.0,921600.0,2.0,4.0,1.6,1.0,8.0,2300.0,
Huawei Ascend G535,2014.0,67578.97,145.0,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Huawei Ascend G630,2014.0,79974.18000000001,160.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Huawei Ascend Y330,2014.0,87612.855,126.0,4.0,384000.0,2.0,2.0,1.3,0.512,3.0,1500.0,
Huawei Ascend P7,2014.0,62518.56,124.0,5.0,2073600.0,2.0,4.0,1.8,2.0,13.0,2500.0,
Huawei Ascend P7 mini,2014.0,66825.408,115.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Huawei Ascend G730,2014.0,111945.59999999999,180.0,5.5,518400.0,2.0,4.0,1.3,1.0,5.0,2300.0,
Huawei Ascend Y600,2014.0,116264.70000000001,180.0,5.0,409920.0,2.0,2.0,1.3,0.512,5.0,2100.0,
Huawei MediaPad 10 Link+,2014.0,448238.93399999995,620.0,10.1,1024000.0,2.0,4.0,1.6,1.0,3.0,6600.0,
Huawei Ascend G6 4G,2014.0,67682.144,115.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Huawei Ascend G6,2014.0,63375.0,115.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Huawei MediaPad M1,2014.0,204436.83200000002,329.0,8.0,1024000.0,2.0,4.0,1.6,1.0,5.0,4800.0,
Huawei MediaPad X1,2014.0,137272.68000000002,239.0,7.0,2304000.0,2.0,4.0,1.6,2.0,13.0,5000.0,
Huawei Ascend Y530,2014.0,82560.75,145.0,4.5,409920.0,2.0,2.0,1.2,0.512,5.0,1750.0,
Huawei MediaPad 7 Youth2,2014.0,230907.996,350.0,7.0,614400.0,2.0,4.0,1.2,1.0,3.0,4100.0,
Huawei Ascend P6 S,2014.0,56454.45,120.0,4.7,921600.0,2.0,4.0,1.6,2.0,8.0,2000.0,
Huawei Ascend Y320,2013.0,86497.416,123.0,4.0,384000.0,2.0,2.0,1.3,0.512,2.0,1350.0,
Huawei Honor 3X G750,2013.0,102984.57,162.0,5.5,921600.0,2.0,8.0,1.7,2.0,13.0,3000.0,
Huawei Honor 3C,2013.0,91634.76000000001,140.0,5.0,921600.0,2.0,4.0,1.3,2.0,8.0,2300.0,
Huawei Ascend G740,2013.0,92760.52500000001,150.0,5.0,921600.0,2.0,2.0,1.2,1.0,8.0,2400.0,
Huawei Ascend Y511,2013.0,93982.56000000001,150.0,4.5,409920.0,2.0,2.0,1.3,0.512,3.0,1730.0,
Huawei Honor 3,2013.0,88482.24,138.0,4.7,921600.0,2.0,4.0,1.5,2.0,13.0,2150.0,
Huawei Ascend G700,2013.0,93366.0,155.0,5.0,921600.0,2.0,4.0,1.2,2.0,8.0,2150.0,
Huawei G610s,2013.0,103466.87999999999,170.0,5.0,518400.0,2.0,4.0,1.2,1.0,5.0,2150.0,
Huawei Ascend G525,2013.0,88616.87999999999,155.0,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,1700.0,
Huawei MediaPad 7 Youth,2013.0,230907.996,350.0,7.0,614400.0,2.0,2.0,1.6,1.0,3.0,4100.0,
Huawei MediaPad 7 Vogue,2013.0,223325.43000000002,335.0,7.0,614400.0,2.0,4.0,1.2,1.0,3.0,4100.0,
Huawei Ascend P6,2013.0,53889.469999999994,120.0,4.7,921600.0,2.0,4.0,1.5,2.0,8.0,2000.0,
Huawei Ascend Y300,2013.0,88962.71999999999,130.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1730.0,
Huawei Premia 4G M931,2013.0,98841.95999999999,140.0,4.0,384000.0,2.0,2.0,1.5,1.0,5.0,1650.0,
Huawei Ascend P2,2013.0,76310.136,122.0,4.7,921600.0,2.0,4.0,1.5,1.0,13.0,2420.0,
Huawei Ascend G615,2013.0,94972.5,145.0,4.5,921600.0,2.0,4.0,1.4,1.0,8.0,2150.0,
Huawei Ascend G526,2013.0,89879.625,150.0,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,1950.0,
Huawei Ascend G350,2013.0,97956.48000000001,140.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1730.0,
Huawei Ascend G312,2012.0,80390.625,140.0,4.0,384000.0,2.0,1.0,1.4,1.0,5.0,1500.0,
Huawei Ascend Mate,2013.0,138718.30500000002,198.0,6.1,921600.0,2.0,4.0,1.5,2.0,8.0,4050.0,
Huawei Ascend D2,2013.0,93436.0,170.0,5.0,2073600.0,2.0,4.0,1.5,2.0,13.0,3000.0,
Huawei Ascend G510,2013.0,88882.2,150.0,4.5,409920.0,2.0,2.0,1.2,0.512,5.0,1700.0,
Huawei Ascend G500,2012.0,92950.0,156.0,4.3,518400.0,2.0,2.0,1.0,1.0,5.0,1930.0,
Huawei Ascend Y201 Pro,2012.0,84187.34999999999,125.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1400.0,
Huawei MediaPad 10 Link,2013.0,448238.93399999995,620.0,10.1,1024000.0,2.0,4.0,1.2,1.0,3.0,6600.0,
Huawei Honor 2,2012.0,94972.5,145.0,4.5,921600.0,2.0,4.0,1.4,2.0,8.0,2230.0,
Huawei Ascend Y,2012.0,83360.16,125.0,3.5,153600.0,2.0,1.0,0.8,0.12,3.0,1400.0,
Huawei Summit,2012.0,84624.324,125.0,3.5,153600.0,2.0,1.0,0.6,0.512,3.0,1400.0,
Huawei Ascend P1 LTE,2012.0,85788.45,135.0,4.3,518400.0,2.0,2.0,1.5,1.0,8.0,2000.0,
Huawei Fusion 2 U8665,2012.0,82646.45999999999,124.2,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1400.0,
Huawei Ascend G600,2012.0,94972.5,145.0,4.5,518400.0,2.0,2.0,1.2,0.768,8.0,1930.0,
Huawei Ascend G330,2012.0,85887.2,130.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1500.0,
Huawei Ascend Y100,2012.0,65007.6,100.0,2.8,76800.0,2.0,1.0,0.8,0.512,3.0,1050.0,
Huawei Ascend Y200,2012.0,82610.89199999999,120.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1250.0,
Huawei Ascend G330D U8825D,2012.0,87417.594,140.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1550.0,
Huawei Ascend G300,2012.0,81033.75,140.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1350.0,
Huawei Ascend P1,2012.0,63567.50400000001,110.0,4.3,518400.0,2.0,2.0,1.5,4.0,8.0,1670.0,
Huawei Activa 4G,2012.0,79629.4,140.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1880.0,
Huawei MediaPad 10 FHD,2012.0,398434.608,580.0,10.0,2304000.0,2.0,4.0,1.2,2.0,8.0,6600.0,
Huawei Ascend D1 XL U9500E,2012.0,75031.539,132.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,2600.0,
Huawei Ascend D1,2012.0,73478.40000000001,132.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1800.0,
Huawei Ascend D quad XL,2012.0,89990.40000000001,150.0,4.5,921600.0,2.0,4.0,1.4,1.0,8.0,2600.0,
Huawei Ascend P1s,2012.0,55311.984000000004,130.0,4.3,518400.0,2.0,2.0,1.5,4.0,8.0,1800.0,
Huawei M886 Mercury,2011.0,96746.0,139.0,4.0,409920.0,2.0,1.0,1.4,0.512,8.0,1900.0,
Huawei MediaPad,2011.0,247380.0,390.0,7.0,1024000.0,2.0,2.0,1.2,8.0,5.0,4100.0,
Huawei MediaPad S7-301w,2011.0,247380.0,390.0,7.0,1024000.0,2.0,2.0,1.2,8.0,5.0,4100.0,
Huawei U8520 Duplex,2011.0,81076.79999999999,109.0,3.2,153600.0,2.0,1.0,0.6,0.512,3.0,1500.0,
Huawei T8300,2011.0,69608.0,104.0,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1200.0,
Huawei U8350 Boulder,2011.0,71497.8,105.0,2.6,76800.0,2.0,1.0,0.528,0.256,3.0,1200.0,
Huawei U8860 Honor,2011.0,81862.0,140.0,4.0,409920.0,2.0,1.0,1.4,0.512,8.0,1930.0,
Huawei U8850 Vision,2011.0,69975.18000000001,121.0,3.7,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Huawei Ascend II,2011.0,92781.0,120.0,3.5,153600.0,2.0,1.0,0.6,0.256,5.0,1400.0,
Huawei U8800 Pro,2011.0,86304.0,130.0,3.8,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Huawei U8180 IDEOS X1,2011.0,75712.0,100.0,2.8,76800.0,2.0,1.0,0.528,0.256,3.0,1200.0,
Huawei IDEOS S7 Slim,2011.0,273750.0,440.0,7.0,384000.0,2.0,1.0,1.0,0.512,3.0,3250.0,
Huawei U9000 IDEOS X6,2010.0,80520.0,143.0,4.1,384000.0,2.0,1.0,1.0,0.512,5.0,1400.0,
Huawei U8800 IDEOS X5,2010.0,86304.0,130.0,3.8,384000.0,2.0,1.0,0.8,0.512,5.0,1500.0,
Huawei U8510 IDEOS X3,2011.0,69608.0,104.0,3.2,153600.0,2.0,1.0,0.6,0.256,3.0,1200.0,
Huawei U8150 IDEOS,2010.0,76939.2,102.1,2.8,76800.0,2.0,1.0,0.528,0.256,3.0,1200.0,
Huawei U8500 IDEOS X2,2010.0,83148.8,115.0,3.2,153600.0,2.0,1.0,0.528,0.256,3.0,1150.0,
Huawei IDEOS S7,2010.0,349866.0,500.0,7.0,384000.0,2.0,1.0,1.0,0.256,2.0,2200.0,
Lenovo A7000,2015.0,93024.96,140.0,5.5,921600.0,2.0,8.0,1.5,2.0,8.0,2900.0,
Lenovo Tab 2 A10-70,2015.0,375909.3,509.0,10.1,2073600.0,2.0,4.0,1.5,2.0,8.0,7000.0,
Lenovo Tab 2 A8,2015.0,233625.0,360.0,8.0,921600.0,2.0,4.0,1.3,1.0,5.0,4290.0,
Lenovo P70,2015.0,90740.84000000001,149.0,5.0,921600.0,2.0,8.0,1.7,2.0,13.0,4000.0,
Lenovo Tab 2 A7-30,2015.0,176496.345,268.0,7.0,614400.0,2.0,4.0,1.3,1.0,2.0,3450.0,
Lenovo A6000,2015.0,80934.0,128.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2300.0,
Lenovo P90,2015.0,98685.0,156.0,5.5,2073600.0,2.0,4.0,1.83,2.0,13.0,4000.0,
Lenovo Vibe X2 Pro,2015.0,72711.1,140.0,5.3,2073600.0,2.0,4.0,1.5,2.0,13.0,2410.0,
Lenovo K3,2014.0,78529.95,128.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2300.0,
Lenovo A916,2014.0,99629.78999999998,173.0,5.5,921600.0,2.0,8.0,1.4,1.0,13.0,2500.0,
Lenovo A319,2014.0,80368.85999999999,130.0,4.0,384000.0,2.0,2.0,1.3,0.512,5.0,1500.0,
Lenovo S856,2014.0,105730.2,175.0,5.5,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
Lenovo S580,2014.0,79153.36200000001,129.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2150.0,
Lenovo S90 Sisley,2014.0,72230.58,129.0,5.0,921600.0,2.0,4.0,1.2,1.0,13.0,2300.0,
Lenovo A606,2014.0,94255.98000000001,170.0,5.0,409920.0,2.0,4.0,1.3,1.0,8.0,2000.0,
Lenovo Yoga Tablet 2 8.0,2014.0,219030.0,419.0,8.0,2304000.0,2.0,4.0,1.33,2.0,8.0,6400.0,
Lenovo Tab S8,2014.0,205188.59600000002,299.0,8.0,2304000.0,2.0,4.0,1.86,2.0,8.0,4290.0,
Lenovo Vibe X2,2014.0,70209.35599999999,120.0,5.0,2073600.0,2.0,4.0,2.0,2.0,13.0,2300.0,
Lenovo Vibe Z2,2014.0,88494.12000000001,158.0,5.5,921600.0,2.0,4.0,1.2,2.0,13.0,3000.0,
Lenovo A850+,2014.0,102795.0,161.0,5.5,518400.0,2.0,8.0,1.4,1.0,5.0,2500.0,
Lenovo Vibe Z2 Pro,2014.0,97657.56,179.0,6.0,3686400.0,2.0,4.0,2.5,3.0,16.0,4000.0,
Lenovo Golden Warrior A8,2014.0,89526.59999999999,180.0,5.0,921600.0,2.0,8.0,1.7,2.0,13.0,2500.0,
Lenovo Golden Warrior S8,2014.0,88465.78000000001,146.0,5.3,921600.0,2.0,8.0,1.4,1.0,13.0,2000.0,
Lenovo S939,2014.0,116197.2,171.5,6.0,921600.0,2.0,8.0,1.7,1.0,8.0,3000.0,
Lenovo S750,2014.0,91149.3,145.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Lenovo A889,2014.0,126050.40000000001,192.0,6.0,518400.0,2.0,4.0,1.3,1.0,8.0,2500.0,
Lenovo A680,2014.0,115101.00000000001,165.0,5.0,409920.0,2.0,4.0,1.3,1.0,5.0,2000.0,
Lenovo A316i,2014.0,90639.9,121.0,4.0,384000.0,2.0,2.0,1.3,0.512,2.0,1300.0,
Lenovo A536,2014.0,100511.99999999999,148.0,5.0,409920.0,2.0,4.0,1.3,1.0,5.0,2000.0,
Lenovo A526,2014.0,99047.51999999999,145.0,4.5,409920.0,2.0,4.0,1.3,1.0,5.0,2000.0,
Lenovo A10-70 A7600,2014.0,419522.85000000003,550.0,10.1,1024000.0,2.0,4.0,1.3,1.0,5.0,6340.0,
Lenovo A8-50 A5500,2014.0,262656.8,360.0,8.0,1024000.0,2.0,4.0,1.3,1.0,5.0,4200.0,
Lenovo A7-50 A3500,2014.0,237576.24000000002,320.0,7.0,1024000.0,2.0,4.0,1.3,1.0,5.0,3450.0,
Lenovo Yoga Tablet 10 HD+,2014.0,380538.0,615.0,10.1,2304000.0,2.0,4.0,1.6,2.0,8.0,9000.0,
Lenovo S860,2014.0,118568.45000000001,190.0,5.3,921600.0,2.0,4.0,1.3,2.0,8.0,4000.0,
Lenovo S850,2014.0,82090.2,140.0,5.0,921600.0,2.0,4.0,1.3,1.0,13.0,2000.0,
Lenovo S660,2014.0,94256.0,151.0,4.7,518400.0,2.0,4.0,1.3,1.0,8.0,3000.0,
Lenovo A880,2014.0,130252.08000000002,196.0,6.0,518400.0,2.0,4.0,1.3,1.0,5.0,2500.0,
Lenovo A859,2014.0,94713.99999999999,163.3,5.0,921600.0,2.0,4.0,1.3,1.0,8.0,2250.0,
Lenovo S930,2013.0,127933.49999999999,170.0,6.0,921600.0,2.0,4.0,1.3,1.0,8.0,3000.0,
Lenovo S650,2013.0,84765.12000000001,126.0,4.7,518400.0,2.0,4.0,1.3,1.0,8.0,2000.0,
Lenovo Vibe Z K910,2013.0,90697.53,145.2,5.5,2073600.0,2.0,4.0,2.2,2.0,13.0,3000.0,
Lenovo Yoga Tablet 10,2013.0,380538.0,605.0,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,9000.0,
Lenovo Yoga Tablet 8,2013.0,223905.6,401.0,8.0,1024000.0,2.0,4.0,1.2,1.0,5.0,6000.0,
Lenovo A630,2013.0,86460.0,159.0,4.5,409920.0,2.0,2.0,1.0,0.512,3.0,2500.0,
Lenovo A516,2013.0,87163.56,146.0,4.5,409920.0,2.0,2.0,1.3,0.512,5.0,2000.0,
Lenovo Vibe X S960,2013.0,73526.40000000001,121.0,5.0,2073600.0,2.0,4.0,1.5,2.0,13.0,2000.0,
Lenovo S5000,2013.0,169103.03999999998,244.9,7.0,1024000.0,2.0,4.0,1.2,1.0,5.0,3450.0,
Lenovo A850,2013.0,115639.22499999999,184.0,5.5,518400.0,2.0,4.0,1.3,1.0,5.0,2250.0,
Lenovo A706,2013.0,97593.6,130.0,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Lenovo P780,2013.0,104390.0,176.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,4000.0,
Lenovo S820,2013.0,87508.34999999999,143.0,4.7,921600.0,2.0,4.0,1.2,1.0,12.0,2000.0,
Lenovo A369i,2013.0,92851.2,120.0,4.0,384000.0,2.0,2.0,1.3,0.512,2.0,1500.0,
Lenovo S920,2013.0,94529.82,159.0,5.3,921600.0,2.0,4.0,1.2,1.0,8.0,2250.0,
Lenovo IdeaTab S6000H,2013.0,402480.0,560.0,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,6350.0,
Lenovo IdeaTab S6000F,2013.0,402480.0,560.0,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,6350.0,
Lenovo IdeaTab S6000,2013.0,355039.54800000007,562.5,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,6350.0,
Lenovo IdeaTab A3000,2013.0,256080.0,339.0,7.0,614400.0,2.0,4.0,1.2,1.0,5.0,3500.0,
Lenovo IdeaTab A1000,2013.0,257645.3,340.0,7.0,614400.0,2.0,2.0,1.2,1.0,3.0,3500.0,
Lenovo K900,2013.0,84497.40000000001,162.0,5.5,2073600.0,2.0,2.0,2.0,2.0,13.0,2500.0,
Lenovo S890,2013.0,98678.58000000002,176.0,5.0,518400.0,2.0,2.0,1.2,1.0,8.0,2250.0,
Lenovo IdeaTab A2107,2013.0,290211.25,400.0,7.0,614400.0,2.0,1.0,1.0,1.0,3.0,3550.0,
Lenovo A830,2013.0,100871.40000000001,165.4,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2250.0,
Lenovo A820,2013.0,91149.3,151.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Lenovo A800,2013.0,105778.72500000002,155.0,4.5,409920.0,2.0,2.0,1.2,0.512,5.0,2000.0,
Lenovo A789,2012.0,109291.248,154.8,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,2000.0,
Lenovo A690,2013.0,88660.0,134.0,4.0,384000.0,2.0,1.0,1.0,0.512,3.0,1500.0,
Lenovo S720,2013.0,89457.291,140.0,4.5,518400.0,2.0,2.0,1.0,0.512,8.0,2000.0,
Lenovo P770,2012.0,106040.90000000001,161.0,4.5,518400.0,2.0,2.0,1.2,1.0,5.0,3500.0,
Lenovo S560,2012.0,96862.5,155.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,2000.0,
Lenovo S880,2012.0,109652.40000000001,196.0,5.0,384000.0,2.0,1.0,1.0,0.512,5.0,2250.0,
Lenovo A660,2012.0,85312.5,138.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,1500.0,
Lenovo K860,2012.0,102493.44000000002,193.5,5.0,921600.0,2.0,4.0,1.4,1.0,8.0,2250.0,
Lenovo P700i,2012.0,103856.128,162.0,4.0,384000.0,2.0,2.0,1.0,0.512,5.0,2500.0,
Lenovo LePhone S2,2012.0,79788.0,120.0,3.8,384000.0,2.0,2.0,1.4,512.0,8.0,1500.0,
Lenovo K800,2012.0,102207.6,161.0,4.5,921600.0,2.0,1.0,1.6,1.0,8.0,1900.0,
Lenovo LePad S2010,2011.0,482783.994,670.0,10.1,1024000.0,2.0,2.0,1.5,1.0,8.0,7560.0,
Lenovo LePad S2007,2011.0,247791.54399999997,357.0,7.0,1024000.0,2.0,2.0,1.5,1.0,8.0,3780.0,
Xiaomi Mi Note,2015.0,84250.31999999999,161.0,5.7,2073600.0,2.0,4.0,2.5,3.0,13.0,3000.0,
Xiaomi Redmi 2,2015.0,84645.12000000001,133.0,4.7,921600.0,2.0,4.0,1.2,1.0,8.0,2200.0,
Xiaomi Mi 4 LTE,2014.0,84863.28,149.0,5.0,2073600.0,2.0,4.0,2.5,3.0,13.0,3080.0,
Xiaomi Mi 4,2014.0,84863.28,149.0,5.0,2073600.0,2.0,4.0,2.5,3.0,13.0,3080.0,
Xiaomi Mi Pad 7.9,2014.0,232481.80000000002,360.0,7.9,3145728.0,2.0,4.0,2.2,2.0,8.0,6700.0,
Xiaomi Redmi Note,2014.0,115138.1,199.0,5.5,921600.0,2.0,8.0,1.4,1.0,13.0,3100.0,
Xiaomi Mi 3,2013.0,85847.04,145.0,5.0,2073600.0,2.0,4.0,2.3,2.0,13.0,3050.0,
Xiaomi Redmi 1S,2014.0,93584.7,158.0,4.7,921600.0,2.0,4.0,1.6,1.0,8.0,2000.0,
Xiaomi Redmi,2013.0,93584.7,158.0,4.7,921600.0,2.0,4.0,1.5,1.0,8.0,2000.0,
Xiaomi Mi 2A,2013.0,84022.75,133.0,4.5,921600.0,2.0,2.0,1.7,1.0,8.0,2030.0,
Xiaomi Mi 2S,2013.0,79682.4,145.0,4.3,921600.0,2.0,4.0,1.7,2.0,8.0,2000.0,
Xiaomi Mi 2,2012.0,79682.4,145.0,4.3,921600.0,2.0,4.0,1.5,2.0,8.0,2000.0,
Xiaomi Mi 1S,2012.0,93712.5,149.0,4.0,409920.0,2.0,2.0,1.7,1.0,8.0,1930.0,
Acer Liquid Z410,2015.0,89804.88,145.0,4.5,518400.0,2.0,4.0,1.5,1.0,5.0,2000.0,
Acer Liquid Jade S,2014.0,76962.59999999999,116.0,5.0,921600.0,2.0,8.0,1.5,2.0,13.0,2300.0,
Acer Liquid Z500,2014.0,93148.00000000001,150.0,5.0,921600.0,2.0,4.0,1.3,2.0,8.0,2000.0,
Acer Liquid X1,2014.0,104765.22000000002,164.0,5.7,921600.0,2.0,8.0,1.7,2.0,13.0,2700.0,
Acer Liquid Jade,2014.0,72708.75,110.0,5.0,921600.0,2.0,4.0,1.3,1.0,13.0,2100.0,
Acer Liquid E700,2014.0,106453.71000000002,155.0,5.0,921600.0,2.0,4.0,1.2,2.0,8.0,3500.0,
Acer Liquid E600,2014.0,100548.0,155.0,5.0,409920.0,2.0,4.0,1.2,2.0,8.0,2500.0,
Acer Liquid Z200,2014.0,84357.0,130.0,4.0,384000.0,2.0,2.0,1.0,0.512,2.0,1300.0,
Acer Iconia Tab 8 A1-840FHD,2014.0,237575.0,360.0,8.0,2304000.0,2.0,4.0,1.86,2.0,5.0,4600.0,
Acer Iconia A1-830,2014.0,230380.63999999998,380.0,7.9,786432.0,2.0,2.0,1.6,1.0,5.0,4000.0,
Acer Liquid Z5,2014.0,94109.40000000001,150.0,5.0,409920.0,2.0,2.0,1.3,0.512,5.0,2000.0,
Acer Liquid S2,2013.0,128782.8,229.0,6.0,2073600.0,2.0,4.0,2.2,2.0,13.0,3300.0,
Acer Liquid Z3,2013.0,68016.0,120.0,3.5,153600.0,2.0,2.0,1.0,0.512,3.0,1500.0,
Acer Liquid S1,2013.0,129878.4,195.0,5.7,921600.0,2.0,4.0,1.5,1.0,8.0,2400.0,
Acer Iconia Tab A3,2013.0,464099.99999999994,560.0,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,7300.0,
Acer Iconia Tab A1-811,2013.0,337524.24899999995,430.0,7.9,786432.0,2.0,4.0,1.2,1.0,5.0,4960.0,
Acer Iconia Tab A1-810,2013.0,337524.24899999995,410.0,7.9,786432.0,2.0,4.0,1.2,1.0,5.0,4960.0,
Acer Liquid E2,2013.0,88189.2,140.0,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,2000.0,
Acer Liquid Z2,2013.0,84562.5,110.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1300.0,
Acer Liquid C1,2013.0,83381.5,140.0,4.3,518400.0,2.0,1.0,1.2,1.0,8.0,2000.0,
Acer Liquid E1,2013.0,89515.8,130.0,4.5,518400.0,2.0,2.0,1.0,1.0,5.0,1760.0,
Acer Iconia Tab B1-710,2013.0,325805.165,339.9,7.0,614400.0,2.0,2.0,1.2,1.0,3.0,2640.0,
Acer Iconia Tab A110,2012.0,278325.3,390.0,7.0,614400.0,2.0,4.0,1.2,1.0,2.0,3420.0,
Acer Liquid Z110,2012.0,83209.5,100.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1300.0,
Acer Liquid Gallant E350,2012.0,84160.89,145.0,4.3,518400.0,2.0,1.0,1.0,1.0,5.0,1500.0,
Acer Liquid Gallant Duo,2012.0,84160.89,145.0,4.3,518400.0,2.0,1.0,1.0,1.0,5.0,1500.0,
Acer Liquid Glow E330,2012.0,78711.75,125.0,3.7,384000.0,2.0,1.0,1.0,0.512,5.0,1300.0,
Acer Iconia Tab A210,2012.0,554126.8060000001,685.0,10.1,1024000.0,2.0,4.0,1.2,1.0,2.0,3260.0,
Acer Iconia Tab A200,2012.0,564200.0,700.0,10.1,1024000.0,2.0,2.0,1.0,1.0,2.0,3260.0,
Acer Iconia Tab A701,2012.0,495568.5,667.0,10.1,2304000.0,2.0,4.0,1.3,1.0,5.0,9800.0,
Acer Iconia Tab A700,2012.0,498575.0,665.0,10.1,2304000.0,2.0,4.0,1.3,1.0,5.0,9800.0,
Acer Iconia Tab A511,2012.0,500500.0,777.0,10.1,1024000.0,2.0,4.0,1.3,1.0,5.0,9800.0,
Acer Iconia Tab A510,2012.0,463286.3460000001,680.0,10.1,1024000.0,2.0,4.0,1.3,1.0,5.0,9800.0,
Acer Iconia Tab A501,2011.0,612066.0,777.0,10.1,1024000.0,2.0,2.0,1.0,1.0,5.0,3260.0,
Acer Iconia Smart,2011.0,124299.23999999999,185.0,4.8,491520.0,2.0,1.0,1.0,0.512,8.0,1500.0,
Acer Iconia Tab A500,2011.0,612066.0,730.0,10.1,1024000.0,2.0,2.0,1.0,1.0,5.0,3260.0,
Acer Iconia Tab A101,2011.0,298876.5,470.0,7.0,614400.0,2.0,2.0,1.0,1.0,5.0,1530.0,
Acer Iconia Tab A100,2011.0,298876.5,450.0,7.0,614400.0,2.0,2.0,1.0,1.0,5.0,1530.0,
Acer Liquid mini E310,2011.0,82524.0,108.0,3.2,153600.0,2.0,1.0,0.6,0.512,5.0,1300.0,
Acer beTouch E210,2011.0,87696.0,109.0,2.6,76800.0,2.0,1.0,0.6,0.512,3.0,1300.0,
Acer beTouch E140,2010.0,74638.08,95.0,2.8,76800.0,2.0,1.0,0.6,0.512,3.0,1300.0,
Acer Liquid mt,2010.0,97807.5,135.0,3.6,384000.0,2.0,1.0,0.8,0.512,5.0,1500.0,
